airport,percent_delayed,minutes_delayed
TVC,21.91,166414.0
TWF,9.9,12530.0
TXK,26.79,29528.0
TYR,20.06,36672.0
TYS,21.71,659572.0
USA,26.91,30872.0
VCT,18.05,37518.0
VLD,16.25,23450.0
VPS,20.4,303664.0
WRG,15.88,11142.0
WYS,13.1,6372.0
XNA,19.62,425038.0
XWA,19.56,65636.0
YAK,15.06,10612.0
YKM,16.28,8842.0
YUM,15.55,40992.0
